Group,Best_Combination,Max_Clipiqa,Max_Score_Sum,Similarity,Threshold
0047,final_v1_usm_0.3_enhance_False,0.92206,3.47303218,0.349582,0.305
0057,final_v1_usm_1.0_enhance_False,0.89149,3.3645095100000004,0.539396,0.305
0065,final_v1_usm_0.3_enhance_False,0.90048,3.48645089,0.525882,0.305
0084,final_v1_usm_0.1_enhance_False,0.927962,3.4305338499999998,0.395278,0.305
0087,final_v1_usm_0.3_enhance_False,0.927673,3.4127942499999997,0.306274,0.305
0098,final_v1_usm_0.3_enhance_False,0.916263,3.38735965,0.355536,0.305
0100,final_v1_usm_1.0_enhance_False,0.89323,3.4637246499999996,0.604451,0.305
0102,final_v1_usm_1.0_enhance_False,0.941485,3.5147253599999995,0.397555,0.305
0109,final_v1_usm_1.0_enhance_False,0.880227,3.3933675599999997,0.320795,0.305
0119,final_v1_usm_0.3_enhance_False,0.864934,3.3655289699999997,0.305206,0.305
011_Jennifer_Aniston_00,final_v1_usm_1.0_enhance_False,0.857798,3.2760814,0.689318,0.605
0129,final_v1_usm_0.3_enhance_False,0.90235,3.37350199,0.472365,0.305
012_Jackie_Chan_00,final_v1_usm_0.7_enhance_False,0.869673,3.1976818600000003,0.650115,0.605
0137,final_v1_usm_0.3_enhance_False,0.893987,3.41071225,0.312698,0.305
0139,final_v1_usm_0.3_enhance_False,0.938499,3.4958985699999996,0.356864,0.305
0153,final_v1_usm_1.0_enhance_False,0.861904,3.4594398999999996,0.577202,0.305
0165,final_v1_usm_0.3_enhance_False,0.910854,3.39728532,0.394272,0.305
0172,final_v1_usm_0.7_enhance_False,0.874899,3.4030934999999998,0.51583,0.305
0174,final_v1_usm_0.1_enhance_False,0.879628,3.40221766,0.673098,0.305
017_Amy_Winehouse_00,final_v1_usm_0.3_enhance_False,0.920611,3.4383424300000005,0.755425,0.605
0184,final_v1_usm_0.3_enhance_False,0.921056,3.43637743,0.541013,0.305
0185,final_v1_usm_0.1_enhance_False,0.923837,3.4711429,0.310733,0.305
0208,final_v1_usm_0.3_enhance_False,0.885661,3.4451285699999996,0.402423,0.305
0218,final_v1_usm_1.2_enhance_False,0.89503,3.5037938299999998,0.410856,0.305
0223,final_v1_usm_1.0_enhance_False,0.895541,3.3103417299999998,0.347051,0.305
0233,final_v1_usm_1.0_enhance_False,0.908557,3.4121240100000003,0.343398,0.305
0240,final_v1_usm_0.3_enhance_False,0.865767,3.43161894,0.712263,0.305
028_Brad_Pitt_00,final_v1_usm_0.7_enhance_False,0.917178,3.33148284,0.629348,0.605
0299,final_v1_usm_0.3_enhance_False,0.891583,3.4449723899999998,0.316158,0.305
0306,final_v1_usm_1.2_enhance_False,0.912894,3.45833486,0.540376,0.305
031_Orlando_Bloom_00,final_v1_usm_0.1_enhance_False,0.88379,3.39559126,0.658759,0.605
0333,final_v1_usm_1.0_enhance_False,0.870937,3.3631672999999997,0.717611,0.305
0338,final_v1_usm_0.1_enhance_False,0.900244,3.3895460600000002,0.312515,0.305
033_Robbie_Williams_00,final_v1_usm_0.3_enhance_False,0.881993,3.4304632699999997,0.698589,0.605
0341,final_v1_usm_0.3_enhance_False,0.914329,3.47869135,0.56646,0.305
0349,final_v1_usm_1.0_enhance_False,0.92127,3.48775237,0.367705,0.305
0363,final_v1_usm_1.0_enhance_False,0.893676,3.33670434,0.323463,0.305
0370,final_v1_usm_0.3_enhance_False,0.934837,3.3536713999999996,0.571143,0.305
0371,final_v1_usm_0.7_enhance_False,0.887472,3.37697957,0.688239,0.305
037_Richard_Hammond_00,final_v1_usm_1.0_enhance_False,0.864532,3.4110625700000003,0.612099,0.605
0384,final_v1_usm_0.3_enhance_False,0.937589,3.4816583,0.305629,0.305
038_Justin_Timberlake_00,final_v1_usm_0.3_enhance_False,0.919171,3.419072,0.645316,0.605
0392,final_v1_usm_0.3_enhance_False,0.903761,3.43630085,0.311372,0.305
0404,final_v1_usm_1.0_enhance_False,0.906774,3.38482525,0.505819,0.305
040_Zooey_Deschanel_00,final_v1_usm_0.1_enhance_False,0.861045,3.33841356,0.695502,0.605
0412,final_v1_usm_1.2_enhance_False,0.907264,3.49117789,0.556562,0.305
0414,final_v1_usm_1.0_enhance_False,0.920581,3.46251629,0.5422,0.305
