Group,Best_Combination,Max_Clipiqa,Max_Score_Sum,Similarity,Threshold
0379,Wider_v2_prompt_version_3_cfg_scale_7_strength_1.0_steps_100_captioner_none_swindegrad_v0,0.904454,3.30921783,0.304992,0.3
0384,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.6_steps_30_captioner_none_swindegrad_v0,0.933127,3.4706009900000003,0.31202,0.3
0392,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.6_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.901815,3.4232974,0.321672,0.3
0404,Wider_v2_prompt_version_2_cfg_scale_6_strength_0.7_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.874845,3.34692363,0.538815,0.3
0412,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.9_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.90664,3.47759074,0.576661,0.3
0414,Wider_v2_prompt_version_2_cfg_scale_5_strength_0.7_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.912533,3.4347695299999996,0.553134,0.3
0418,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.6_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.909609,3.3487882300000003,0.361307,0.3
0426,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.6_steps_30_captioner_none_swindegrad_v0,0.864036,3.4041408200000003,0.536822,0.3
0433,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.9_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.90894,3.48690833,0.631254,0.3
0446,Wider_v2_prompt_version_3_cfg_scale_5_strength_0.6_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.879673,3.4234655599999995,0.340518,0.3
0471,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.7_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.936994,3.2841546599999996,0.412304,0.3
0477,Wider_v2_prompt_version_2_cfg_scale_7_strength_0.8_steps_50_captioner_none_swindegrad_v0,0.901674,3.44610275,0.513623,0.3
0479,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.6_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.858863,3.41223902,0.375809,0.3
0485,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.7_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.877798,3.400926,0.446385,0.3
0510,Wider_v2_prompt_version_2_cfg_scale_7_strength_0.7_steps_30_captioner_none_swindegrad_v0,0.88294,3.4391654799999998,0.644199,0.3
0517,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.6_steps_50_captioner_none_swindegrad_v0,0.918694,3.48986303,0.518076,0.3
0520,Wider_v2_prompt_version_2_cfg_scale_7_strength_0.8_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.92075,3.46960269,0.509822,0.3
0528,Wider_v2_prompt_version_3_cfg_scale_8_strength_1.0_steps_30_captioner_none_swindegrad_v0,0.913616,3.34794991,0.593038,0.3
0540,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.9_steps_100_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.889915,3.41292817,0.348835,0.3
0541,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.9_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.841461,3.2281683799999996,0.307315,0.3
0567,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.6_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.849795,3.21975305,0.36392,0.3
0576,Wider_v2_prompt_version_1_cfg_scale_4_strength_0.6_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.873304,3.45631588,0.34334,0.3
0606,Wider_v2_prompt_version_2_cfg_scale_5_strength_0.7_steps_75_captioner_none_swindegrad_v0,0.852793,3.41548016,0.412854,0.3
0613,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.8_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.881964,3.40746794,0.51348,0.3
